file,buffer_cm,mean_lightness,std_lightness,n_px,area_cm2,pixels_per_cm
AM-S2-05_roi_data.mat,-8.5,0.5146868824958801,0.05330456420779228,323756,544.1596818439376,24.391905709074326
AM-S2-05_roi_data.mat,-8.0,0.514226496219635,0.05385791137814522,353120,593.5138402152586,24.391905709074326
AM-S2-05_roi_data.mat,-7.5,0.5136939287185669,0.05456790328025818,383236,644.1319383459868,24.391905709074326
AM-S2-05_roi_data.mat,-7.0,0.5131015777587891,0.05512445047497749,414453,696.600565299996,24.391905709074326
AM-S2-05_roi_data.mat,-6.5,0.5122857689857483,0.055730704218149185,447022,751.3415945874075,24.391905709074326
AM-S2-05_roi_data.mat,-6.0,0.5113572478294373,0.055979687720537186,481293,808.9432960430519,24.391905709074326
AM-S2-05_roi_data.mat,-5.5,0.5101460814476013,0.05615350231528282,515582,866.575251375916,24.391905709074326
AM-S2-05_roi_data.mat,-5.0,0.5087547898292542,0.056407008320093155,551817,927.4779869904377,24.391905709074326
AM-S2-05_roi_data.mat,-4.5,0.50750333070755,0.05634265020489693,589817,991.3472833434616,24.391905709074326
AM-S2-05_roi_data.mat,-4.0,0.5065634846687317,0.05634642019867897,628518,1056.3948001371032,24.391905709074326
AM-S2-05_roi_data.mat,-3.5,0.505662202835083,0.05636544153094292,669018,1124.4660238817735,24.391905709074326
AM-S2-05_roi_data.mat,-3.0,0.5046451091766357,0.0566132590174675,709432,1192.3927013241712,24.391905709074326
AM-S2-05_roi_data.mat,-2.5,0.5034756064414978,0.056991152465343475,752507,1264.7919102822373,24.391905709074326
AM-S2-05_roi_data.mat,-2.0,0.5026532411575317,0.05766108259558678,796037,1337.955870025583,24.391905709074326
AM-S2-05_roi_data.mat,-1.5,0.5020033717155457,0.058499790728092194,839936,1411.7400342519354,24.391905709074326
AM-S2-05_roi_data.mat,-1.0,0.5012747049331665,0.05945258215069771,886737,1490.4017957945111,24.391905709074326
AM-S2-05_roi_data.mat,-0.5,0.5006352663040161,0.06042990833520889,933872,1569.6249348366107,24.391905709074326
AM-S2-05_roi_data.mat,0.0,0.5003767609596252,0.06152578815817833,981371,1649.459874506934,24.391905709074326
AM-S2-05_roi_data.mat,0.5,0.5004714131355286,0.06276906281709671,1029871,1730.9772659048726,24.391905709074326
AM-S2-05_roi_data.mat,1.0,0.500669538974762,0.06398635357618332,1080164,1815.5082796281,24.391905709074326
AM-S2-05_roi_data.mat,1.5,0.5010019540786743,0.06525617837905884,1132339,1903.2025042917583,24.391905709074326
AM-S2-05_roi_data.mat,2.0,0.5013554692268372,0.06644551455974579,1183623,1989.3991620330341,24.391905709074326
AM-S2-05_roi_data.mat,2.5,0.5017855763435364,0.06748489290475845,1236744,2078.683396021692,24.391905709074326
AM-S2-05_roi_data.mat,3.0,0.5022340416908264,0.06854963302612305,1291711,2171.070333196341,24.391905709074326
AM-S2-05_roi_data.mat,3.5,0.5025500655174255,0.0694589614868164,1345908,2262.163076734363,24.391905709074326
AM-S2-05_roi_data.mat,4.0,0.502874493598938,0.0702352300286293,1402631,2357.5014477089044,24.391905709074326
AM-S2-05_roi_data.mat,4.5,0.5032486319541931,0.07089235633611679,1459564,2453.1927805843443,24.391905709074326
AM-S2-05_roi_data.mat,5.0,0.5036026835441589,0.07154840230941772,1518135,2551.637216286791,24.391905709074326
AM-S2-05_roi_data.mat,5.5,0.5040033459663391,0.07210464030504227,1576920,2650.4413369739623,24.391905709074326
AM-S2-05_roi_data.mat,6.0,0.5043491721153259,0.07258835434913635,1635624,2749.1093152136445,24.391905709074326
AM-S2-05_roi_data.mat,6.5,0.5046300292015076,0.07293649762868881,1696995,2852.259909594735,24.391905709074326
AM-S2-05_roi_data.mat,7.0,0.5048449039459229,0.07317624986171722,1758556,2955.72985045759,24.391905709074326
AM-S2-05_roi_data.mat,7.5,0.5050219297409058,0.07339303940534592,1820906,3060.5259196052493,24.391905709074326
AM-S2-05_roi_data.mat,8.0,0.5051179528236389,0.07355751097202301,1884328,3167.1237752184466,24.391905709074326
AM-S2-05_roi_data.mat,8.5,0.505190372467041,0.07372391223907471,1949555,3276.755422408412,24.391905709074326
AM-S2-06_roi_data.mat,-8.5,0.4831387996673584,0.0492761991918087,87002,144.1495287871985,24.567332550901828
AM-S2-06_roi_data.mat,-8.0,0.48405903577804565,0.04911227524280548,103487,171.46275126549747,24.567332550901828
AM-S2-06_roi_data.mat,-7.5,0.48489508032798767,0.04887891933321953,121421,201.17675380876796,24.567332550901828
AM-S2-06_roi_data.mat,-7.0,0.4853375554084778,0.048481546342372894,140331,232.50784492582187,24.567332550901828
AM-S2-06_roi_data.mat,-6.5,0.4852849543094635,0.04802076146006584,160362,265.696268308461,24.567332550901828
AM-S2-06_roi_data.mat,-6.0,0.4851219356060028,0.04768259823322296,181387,300.531603619728,24.567332550901828
AM-S2-06_roi_data.mat,-5.5,0.48475950956344604,0.04738808050751686,203526,337.2126732252519,24.567332550901828
AM-S2-06_roi_data.mat,-5.0,0.4841926693916321,0.047518614679574966,227165,376.37902240113965,24.567332550901828
AM-S2-06_roi_data.mat,-4.5,0.48391813039779663,0.048547014594078064,251883,417.3331160146424,24.567332550901828
AM-S2-06_roi_data.mat,-4.0,0.4834838807582855,0.04941881075501442,277598,459.9390921159138,24.567332550901828
AM-S2-06_roi_data.mat,-3.5,0.4832792580127716,0.050054363906383514,304706,504.85306451152974,24.567332550901828
AM-S2-06_roi_data.mat,-3.0,0.4831753075122833,0.05067947506904602,332570,551.019617810609,24.567332550901828
AM-S2-06_roi_data.mat,-2.5,0.4838409721851349,0.051623813807964325,361487,598.9308373680839,24.567332550901828
AM-S2-06_roi_data.mat,-2.0,0.48501095175743103,0.05252790078520775,391932,649.3737283812359,24.567332550901828
AM-S2-06_roi_data.mat,-1.5,0.486268550157547,0.05318745598196983,423667,701.953959824901,24.567332550901828
AM-S2-06_roi_data.mat,-1.0,0.48720571398735046,0.05341719835996628,456255,755.9474869175796,24.567332550901828
AM-S2-06_roi_data.mat,-0.5,0.48834100365638733,0.053863056004047394,489700,811.3609370714594,24.567332550901828
AM-S2-06_roi_data.mat,0.0,0.48946183919906616,0.054415248334407806,523693,867.6823426950455,24.567332550901828
AM-S2-06_roi_data.mat,0.5,0.49039214849472046,0.05486060678958893,558657,925.6125526271805,24.567332550901828
AM-S2-06_roi_data.mat,1.0,0.4913491904735565,0.05542507395148277,595114,986.016444158351,24.567332550901828
AM-S2-06_roi_data.mat,1.5,0.49232739210128784,0.05610521137714386,632827,1048.5013431164396,24.567332550901828
AM-S2-06_roi_data.mat,2.0,0.49336886405944824,0.05681737884879112,671794,1113.0639357953523,24.567332550901828
AM-S2-06_roi_data.mat,2.5,0.4944688677787781,0.05756295472383499,711598,1179.013314474528,24.567332550901828
AM-S2-06_roi_data.mat,3.0,0.4955248534679413,0.058304086327552795,751800,1245.6221206663736,24.567332550901828
AM-S2-06_roi_data.mat,3.5,0.49625730514526367,0.05881766602396965,793111,1314.0683768872416,24.567332550901828
AM-S2-06_roi_data.mat,4.0,0.49683263897895813,0.05903858691453934,835830,1384.8474821981579,24.567332550901828
AM-S2-06_roi_data.mat,4.5,0.4973810613155365,0.059257395565509796,879174,1456.6621206633924,24.567332550901828
AM-S2-06_roi_data.mat,5.0,0.4979877173900604,0.05956175923347473,923639,1530.3340913942122,24.567332550901828
AM-S2-06_roi_data.mat,5.5,0.4987805485725403,0.06002981960773468,969229,1605.8700218028048,24.567332550901828
AM-S2-06_roi_data.mat,6.0,0.49956077337265015,0.06052771955728531,1015147,1681.9494000107838,24.567332550901828
AM-S2-06_roi_data.mat,6.5,0.50019371509552,0.06096658110618591,1062047,1759.6558079108274,24.567332550901828
AM-S2-06_roi_data.mat,7.0,0.5007654428482056,0.06137453764677048,1110071,1839.2245186355974,24.567332550901828
AM-S2-06_roi_data.mat,7.5,0.5014812350273132,0.061772219836711884,1159266,1920.733404278298,24.567332550901828
AM-S2-06_roi_data.mat,8.0,0.5023663640022278,0.06218492239713669,1209542,2004.0333480647073,24.567332550901828
AM-S2-06_roi_data.mat,8.5,0.5033625364303589,0.06263111531734467,1260196,2087.9595823028485,24.567332550901828
BG_02_before_roi_data.mat,-8.5,0.4917818009853363,0.014591226354241371,26044,6.6345435979481495,62.653929947896614
BG_02_before_roi_data.mat,-8.0,0.4928032159805298,0.013550033792853355,53944,13.741891408682037,62.653929947896614
BG_02_before_roi_data.mat,-7.5,0.4938133955001831,0.013351419009268284,90119,22.957242915968717,62.653929947896614
BG_02_before_roi_data.mat,-7.0,0.49292048811912537,0.015477830544114113,133573,34.02687344527446,62.653929947896614
BG_02_before_roi_data.mat,-6.5,0.49198833107948303,0.015272620134055614,184569,47.01778057632053,62.653929947896614
BG_02_before_roi_data.mat,-6.0,0.49156996607780457,0.01549963466823101,244202,62.20890860490454,62.653929947896614
BG_02_before_roi_data.mat,-5.5,0.49063730239868164,0.016125217080116272,310566,79.11471613578425,62.653929947896614
BG_02_before_roi_data.mat,-5.0,0.48901286721229553,0.01708282344043255,384876,98.04471670265289,62.653929947896614
