buffer_cm,mean_lightness,std_lightness,n_images
-8.5,0.47721716377042955,0.0891854744902269,31
-8.0,0.4775131873546108,0.08910429215583208,31
-7.5,0.47779109401087605,0.08894853850996565,31
-7.0,0.4777403613552451,0.08734181400234182,32
-6.5,0.4763490774414756,0.08623021395373365,33
-6.0,0.47607374371904315,0.08633129908506369,33
-5.5,0.47612722714742023,0.08619608024767134,33
-5.0,0.47619445125261944,0.08601284064431756,33
-4.5,0.4762537930950974,0.08582085025969091,33
-4.0,0.4762913729205276,0.08561538386081848,33
-3.5,0.4763389022061319,0.0854201377840038,33
-3.0,0.47634492046905286,0.08523898934970016,33
-2.5,0.4763425579576781,0.08505147865907554,33
-2.0,0.47637666355479846,0.08485096137334845,33
-1.5,0.4763597412542863,0.08465659749493028,33
-1.0,0.47631017367045086,0.08445017738473318,33
-0.5,0.4762834698864908,0.0842433579432311,33
0.0,0.47628897789752844,0.08404492200700528,33
0.5,0.47628218748352746,0.0838672460722507,33
1.0,0.47618985266396496,0.08370432557718477,33
1.5,0.47611700133843854,0.08351599308790406,33
2.0,0.4759551801464774,0.08335662193905645,33
2.5,0.47577989823890454,0.08320558744064578,33
3.0,0.4755647001844464,0.08307484598874697,33
3.5,0.47531956976110284,0.08294915091881551,33
4.0,0.47508732839064166,0.08281162685001728,33
4.5,0.4747943309220401,0.08268384205719831,33
5.0,0.4744496706760291,0.08258476984422793,33
5.5,0.4740449126922723,0.08253445474806465,33
6.0,0.4735773639245467,0.08252357671576271,33
6.5,0.4730477179541732,0.08249784821242426,33
7.0,0.47253044085069135,0.0824538184098268,33
7.5,0.4720955527190006,0.08237299865262017,33
8.0,0.4716730704813292,0.08229136136616307,33
8.5,0.47125381682858325,0.08219499033757018,33
